STATECD,UNITCD,UNITCD_NAME,COUNTYCD,COUNTY_NAME
1,3, Southeast,1, Autauga
1,1, Southwest-South,3, Baldwin
1,3, Southeast,5, Barbour
1,4, West Central,7, Bibb
1,5, North Central,9, Blount
1,3, Southeast,11, Bullock
1,3, Southeast,13, Butler
1,5, North Central,15, Calhoun
1,3, Southeast,17, Chambers
1,5, North Central,19, Cherokee
1,3, Southeast,21, Chilton
1,2, Southwest-North,23, Choctaw
1,2, Southwest-North,25, Clarke
1,5, North Central,27, Clay
1,5, North Central,29, Cleburne
1,3, Southeast,31, Coffee
1,6, North,33, Colbert
1,2, Southwest-North,35, Conecuh
1,5, North Central,37, Coosa
1,1, Southwest-South,39, Covington
1,3, Southeast,41, Crenshaw
1,5, North Central,43, Cullman
1,3, Southeast,45, Dale
1,3, Southeast,47, Dallas
1,6, North,49, DeKalb
1,3, Southeast,51, Elmore
1,1, Southwest-South,53, Escambia
1,5, North Central,55, Etowah
1,4, West Central,57, Fayette
1,6, North,59, Franklin
1,3, Southeast,61, Geneva
1,4, West Central,63, Greene
1,4, West Central,65, Hale
1,3, Southeast,67, Henry
1,3, Southeast,69, Houston
1,6, North,71, Jackson
1,5, North Central,73, Jefferson
1,4, West Central,75, Lamar
1,6, North,77, Lauderdale
1,6, North,79, Lawrence
1,3, Southeast,81, Lee
1,6, North,83, Limestone
1,3, Southeast,85, Lowndes
1,3, Southeast,87, Macon
1,6, North,89, Madison
1,2, Southwest-North,91, Marengo
1,4, West Central,93, Marion
1,6, North,95, Marshall
1,1, Southwest-South,97, Mobile
1,2, Southwest-North,99, Monroe
1,3, Southeast,101, Montgomery
1,6, North,103, Morgan
1,4, West Central,105, Perry
1,4, West Central,107, Pickens
1,3, Southeast,109, Pike
1,5, North Central,111, Randolph
1,3, Southeast,113, Russell
1,5, North Central,115, St. Clair
1,5, North Central,117, Shelby
1,2, Southwest-North,119, Sumter
1,5, North Central,121, Talladega
1,3, Southeast,123, Tallapoosa
1,4, West Central,125, Tuscaloosa
1,5, North Central,127, Walker
1,1, Southwest-South,129, Washington
1,2, Southwest-North,131, Wilcox
1,5, North Central,133, Winston
2,1, Alaska,13, Aleutians East Borough
2,1, Alaska,16, Aleutians West Census Area
2,1, Alaska,20, Anchorage Borough
2,1, Alaska,50, Bethel Census Area
2,1, Alaska,60, Bristol Bay Borough
2,1, Alaska,68, Denali Borough
2,1, Alaska,70, Dillingham Census Area
2,1, Alaska,90, Fairbanks North Star Borough
2,1, Alaska,100, Haines Borough
2,1, Alaska,110, Juneau Borough
2,1, Alaska,122, Kenai Peninsula Borough
2,1, Alaska,130, Ketchikan Gateway Borough
2,1, Alaska,150, Kodiak Island Borough
2,1, Alaska,164, Lake and Peninsula Borough
2,1, Alaska,170, Matanuska-Susitna Borough
2,1, Alaska,180, Nome Census Area
2,1, Alaska,185, North Slope Borough
2,1, Alaska,188, Northwest Arctic Borough
2,1, Alaska,201, Prince of Wales-Outer Ketchikan Census Area
2,1, Alaska,220, Sitka Borough
2,1, Alaska,232, Skagway-Hoonah-Angoon Census Area
2,1, Alaska,240, Southeast Fairbanks Census Area
2,1, Alaska,261, Valdez-Cordova Census Area
2,1, Alaska,270, Wade Hampton Census Area
2,1, Alaska,280, Wrangell-Petersburg CensusArea
2,1, Alaska,282, Yakutat Borough
2,1, Alaska,290, Yukon-Koyukuk Census Area
4,2, Northern,1, Apache
4,1, Southern,3, Cochise
4,2, Northern,5, Coconino
4,2, Northern,7, Gila
4,1, Southern,9, Graham
4,1, Southern,11, Greenlee
4,1, Southern,12, La Paz
4,1, Southern,13, Maricopa
4,2, Northern,15, Mohave
4,2, Northern,17, Navajo
4,1, Southern,19, Pima
4,1, Southern,21, Pinal
4,1, Southern,23, Santa Cruz
4,2, Northern,25, Yavapai
4,1, Southern,27, Yuma
5,1, South Delta,1, Arkansas
5,3, Southwest,3, Ashley
5,5, Ozark,5, Baxter
5,5, Ozark,7, Benton
5,5, Ozark,9, Boone
5,3, Southwest,11, Bradley
5,3, Southwest,13, Calhoun
5,5, Ozark,15, Carroll
5,1, South Delta,17, Chicot
5,3, Southwest,19, Clark
5,2, North Delta,21, Clay
5,5, Ozark,23, Cleburne
5,3, Southwest,25, Cleveland
5,3, Southwest,27, Columbia
5,5, Ozark,29, Conway
5,2, North Delta,31, Craighead
5,5, Ozark,33, Crawford
5,2, North Delta,35, Crittenden
5,2, North Delta,37, Cross
5,3, Southwest,39, Dallas
5,1, South Delta,41, Desha
5,3, Southwest,43, Drew
5,5, Ozark,45, Faulkner
5,5, Ozark,47, Franklin
5,5, Ozark,49, Fulton
5,4, Ouachita,51, Garland
5,3, Southwest,53, Grant
5,2, North Delta,55, Greene
5,3, Southwest,57, Hempstead
5,3, Southwest,59, Hot Spring
5,3, Southwest,61, Howard
5,5, Ozark,63, Independence
5,5, Ozark,65, Izard
5,2, North Delta,67, Jackson
5,1, South Delta,69, Jefferson
5,5, Ozark,71, Johnson
5,3, Southwest,73, Lafayette
5,2, North Delta,75, Lawrence
5,1, South Delta,77, Lee
5,1, South Delta,79, Lincoln
5,3, Southwest,81, Little River
5,4, Ouachita,83, Logan
5,1, South Delta,85, Lonoke
5,5, Ozark,87, Madison
5,5, Ozark,89, Marion
5,3, Southwest,91, Miller
5,2, North Delta,93, Mississippi
5,1, South Delta,95, Monroe
5,4, Ouachita,97, Montgomery
5,3, Southwest,99, Nevada
5,5, Ozark,101, Newton
5,3, Southwest,103, Ouachita
5,4, Ouachita,105, Perry
5,1, South Delta,107, Phillips
5,3, Southwest,109, Pike
5,2, North Delta,111, Poinsett
5,4, Ouachita,113, Polk
5,5, Ozark,115, Pope
5,1, South Delta,117, Prairie
5,4, Ouachita,119, Pulaski
5,5, Ozark,121, Randolph
5,2, North Delta,123, St. Francis
5,4, Ouachita,125, Saline
5,4, Ouachita,127, Scott
5,5, Ozark,129, Searcy
5,4, Ouachita,131, Sebastian
5,3, Southwest,133, Sevier
5,5, Ozark,135, Sharp
5,5, Ozark,137, Stone
5,3, Southwest,139, Union
5,5, Ozark,141, Van Buren
5,5, Ozark,143, Washington
5,5, Ozark,145, White
5,2, North Delta,147, Woodruff
5,4, Ouachita,149, Yell
6,4, Central Coast,1, Alameda
6,5, San Joaquin,3, Alpine
6,5, San Joaquin,5, Amador
6,3, Sacramento,7, Butte
6,5, San Joaquin,9, Calaveras
6,3, Sacramento,11, Colusa
6,4, Central Coast,13, Contra Costa
6,1, North Coast,15, Del Norte
6,3, Sacramento,17, El Dorado
6,5, San Joaquin,19, Fresno
6,3, Sacramento,21, Glenn
6,1, North Coast,23, Humboldt
6,6, Southern,25, Imperial
6,6, Southern,27, Inyo
6,5, San Joaquin,29, Kern
6,5, San Joaquin,31, Kings
6,3, Sacramento,33, Lake
6,2, North Interior,35, Lassen
6,6, Southern,37, Los Angeles
6,5, San Joaquin,39, Madera
6,4, Central Coast,41, Marin
6,5, San Joaquin,43, Mariposa
6,1, North Coast,45, Mendocino
6,5, San Joaquin,47, Merced
6,2, North Interior,49, Modoc
6,5, San Joaquin,51, Mono
6,4, Central Coast,53, Monterey
6,3, Sacramento,55, Napa
6,3, Sacramento,57, Nevada
6,6, Southern,59, Orange
6,3, Sacramento,61, Placer
6,3, Sacramento,63, Plumas
6,6, Southern,65, Riverside
6,3, Sacramento,67, Sacramento
6,4, Central Coast,69, San Benito
6,6, Southern,71, San Bernardino
6,6, Southern,73, San Diego
6,4, Central Coast,75, San Francisco
6,5, San Joaquin,77, San Joaquin
6,4, Central Coast,79, San Luis Obispo
6,4, Central Coast,81, San Mateo
6,4, Central Coast,83, Santa Barbara
6,4, Central Coast,85, Santa Clara
6,4, Central Coast,87, Santa Cruz
6,2, North Interior,89, Shasta
6,3, Sacramento,91, Sierra
6,2, North Interior,93, Siskiyou
6,4, Central Coast,95, Solano
6,1, North Coast,97, Sonoma
6,5, San Joaquin,99, Stanislaus
6,3, Sacramento,101, Sutter
6,3, Sacramento,103, Tehama
6,2, North Interior,105, Trinity
6,5, San Joaquin,107, Tulare
6,5, San Joaquin,109, Tuolumne
6,4, Central Coast,111, Ventura
6,3, Sacramento,113, Yolo
6,3, Sacramento,115, Yuba
8,5, Eastern,1, Adams
8,3, West Central,3, Alamosa
8,5, Eastern,5, Arapahoe
8,4, Western,7, Archuleta
8,5, Eastern,9, Baca
8,5, Eastern,11, Bent
8,1, Northern Front Range,13, Boulder
8,1, Northern Front Range,14, Broomfield
8,2, Southern Front Range,15, Chaffee
8,5, Eastern,17, Cheyenne
8,1, Northern Front Range,19, Clear Creek
8,3, West Central,21, Conejos
8,2, Southern Front Range,23, Costilla
8,5, Eastern,25, Crowley
8,2, Southern Front Range,27, Custer
8,4, Western,29, Delta
8,5, Eastern,31, Denver
8,4, Western,33, Dolores
8,1, Northern Front Range,35, Douglas
8,3, West Central,37, Eagle
8,1, Northern Front Range,39, Elbert
8,1, Northern Front Range,41, El Paso
8,2, Southern Front Range,43, Fremont
8,4, Western,45, Garfield
8,1, Northern Front Range,47, Gilpin
8,3, West Central,49, Grand
8,3, West Central,51, Gunnison
8,3, West Central,53, Hinsdale
8,2, Southern Front Range,55, Huerfano
8,3, West Central,57, Jackson
8,1, Northern Front Range,59, Jefferson
8,5, Eastern,61, Kiowa
8,5, Eastern,63, Kit Carson
8,1, Northern Front Range,65, Lake
8,4, Western,67, La Plata
8,1, Northern Front Range,69, Larimer
8,2, Southern Front Range,71, Las Animas
8,5, Eastern,73, Lincoln
8,5, Eastern,75, Logan
8,4, Western,77, Mesa
8,3, West Central,79, Mineral
8,4, Western,81, Moffat
8,4, Western,83, Montezuma
8,4, Western,85, Montrose
8,5, Eastern,87, Morgan
8,5, Eastern,89, Otero
8,4, Western,91, Ouray
8,1, Northern Front Range,93, Park
8,5, Eastern,95, Phillips
8,3, West Central,97, Pitkin
8,5, Eastern,99, Prowers
8,2, Southern Front Range,101, Pueblo
8,4, Western,103, Rio Blanco
8,3, West Central,105, Rio Grande
8,3, West Central,107, Routt
8,3, West Central,109, Saguache
8,3, West Central,111, San Juan
8,4, Western,113, San Miguel
8,5, Eastern,115, Sedgwick
8,3, West Central,117, Summit
8,1, Northern Front Range,119, Teller
8,5, Eastern,121, Washington
8,5, Eastern,123, Weld
8,5, Eastern,125, Yuma
9,1, Connecticut,1, Fairfield
9,1, Connecticut,3, Hartford
9,1, Connecticut,5, Litchfield
9,1, Connecticut,7, Middlesex
9,1, Connecticut,9, New Haven
9,1, Connecticut,11, New London
9,1, Connecticut,13, Tolland
9,1, Connecticut,15, Windham
11,1, District of Columbia,1, District of Columbia
12,1, Northeast,1, Alachua
12,1, Northeast,3, Baker
12,2, Northwest,5, Bay
12,1, Northeast,7, Bradford
12,3, Central,9, Brevard
12,4, South,11, Broward
12,2, Northwest,13, Calhoun
12,4, South,15, Charlotte
12,3, Central,17, Citrus
12,1, Northeast,19, Clay
12,4, South,21, Collier
12,1, Northeast,23, Columbia
12,4, South,25, Dade
12,3, Central,27, DeSoto
12,1, Northeast,29, Dixie
12,1, Northeast,31, Duval
12,2, Northwest,33, Escambia
12,1, Northeast,35, Flagler
12,2, Northwest,37, Franklin
12,2, Northwest,39, Gadsden
12,1, Northeast,41, Gilchrist
12,4, South,43, Glades
12,2, Northwest,45, Gulf
12,1, Northeast,47, Hamilton
12,3, Central,49, Hardee
12,4, South,51, Hendry
12,3, Central,53, Hernando
12,3, Central,55, Highlands
12,3, Central,57, Hillsborough
12,2, Northwest,59, Holmes
12,3, Central,61, Indian River
12,2, Northwest,63, Jackson
12,2, Northwest,65, Jefferson
12,1, Northeast,67, Lafayette
12,3, Central,69, Lake
12,4, South,71, Lee
12,2, Northwest,73, Leon
12,1, Northeast,75, Levy
12,2, Northwest,77, Liberty
12,1, Northeast,79, Madison
12,3, Central,81, Manatee
12,1, Northeast,83, Marion
12,4, South,85, Martin
12,4, South,86, Broward
12,4, South,87, Monroe
12,1, Northeast,89, Nassau
12,2, Northwest,91, Okaloosa
12,3, Central,93, Okeechobee
12,3, Central,95, Orange
12,3, Central,97, Osceola
12,4, South,99, Palm Beach
12,3, Central,101, Pasco
12,3, Central,103, Pinellas
12,3, Central,105, Polk
12,1, Northeast,107, Putnam
12,1, Northeast,109, St. Johns
12,3, Central,111, St. Lucie
12,2, Northwest,113, Santa Rosa
12,3, Central,115, Sarasota
12,3, Central,117, Seminole
12,3, Central,119, Sumter
