STATECD,COUNTYCD,FIPS,STATEABBR
1,1,1001,AL
1,3,1003,AL
1,5,1005,AL
1,7,1007,AL
1,9,1009,AL
1,11,1011,AL
1,13,1013,AL
1,15,1015,AL
1,17,1017,AL
1,19,1019,AL
1,21,1021,AL
1,23,1023,AL
1,25,1025,AL
1,27,1027,AL
1,29,1029,AL
1,31,1031,AL
1,33,1033,AL
1,35,1035,AL
1,37,1037,AL
1,39,1039,AL
1,41,1041,AL
1,43,1043,AL
1,45,1045,AL
1,47,1047,AL
1,49,1049,AL
1,51,1051,AL
1,53,1053,AL
1,55,1055,AL
1,57,1057,AL
1,59,1059,AL
1,61,1061,AL
1,63,1063,AL
1,65,1065,AL
1,67,1067,AL
1,69,1069,AL
1,71,1071,AL
1,73,1073,AL
1,75,1075,AL
1,77,1077,AL
1,79,1079,AL
1,81,1081,AL
1,83,1083,AL
1,85,1085,AL
1,87,1087,AL
1,89,1089,AL
1,91,1091,AL
1,93,1093,AL
1,95,1095,AL
1,97,1097,AL
1,99,1099,AL
1,101,1101,AL
1,103,1103,AL
1,105,1105,AL
1,107,1107,AL
1,109,1109,AL
1,111,1111,AL
1,113,1113,AL
1,115,1115,AL
1,117,1117,AL
1,119,1119,AL
1,121,1121,AL
1,123,1123,AL
1,125,1125,AL
1,127,1127,AL
1,129,1129,AL
1,131,1131,AL
1,133,1133,AL
2,13,2013,AK
2,16,2016,AK
2,20,2020,AK
2,50,2050,AK
2,60,2060,AK
2,68,2068,AK
2,70,2070,AK
2,90,2090,AK
2,100,2100,AK
2,110,2110,AK
2,122,2122,AK
2,130,2130,AK
2,150,2150,AK
2,164,2164,AK
2,170,2170,AK
2,180,2180,AK
2,185,2185,AK
2,188,2188,AK
2,201,2201,AK
2,220,2220,AK
2,232,2232,AK
2,240,2240,AK
2,261,2261,AK
2,270,2270,AK
2,280,2280,AK
2,282,2282,AK
2,290,2290,AK
4,1,4001,AZ
4,3,4003,AZ
4,5,4005,AZ
4,7,4007,AZ
4,9,4009,AZ
4,11,4011,AZ
4,12,4012,AZ
4,13,4013,AZ
4,15,4015,AZ
4,17,4017,AZ
4,19,4019,AZ
4,21,4021,AZ
4,23,4023,AZ
4,25,4025,AZ
4,27,4027,AZ
5,1,5001,AR
5,3,5003,AR
5,5,5005,AR
5,7,5007,AR
5,9,5009,AR
5,11,5011,AR
5,13,5013,AR
5,15,5015,AR
5,17,5017,AR
5,19,5019,AR
5,21,5021,AR
5,23,5023,AR
5,25,5025,AR
5,27,5027,AR
5,29,5029,AR
5,31,5031,AR
5,33,5033,AR
5,35,5035,AR
5,37,5037,AR
5,39,5039,AR
5,41,5041,AR
5,43,5043,AR
5,45,5045,AR
5,47,5047,AR
5,49,5049,AR
5,51,5051,AR
5,53,5053,AR
5,55,5055,AR
5,57,5057,AR
5,59,5059,AR
5,61,5061,AR
5,63,5063,AR
5,65,5065,AR
5,67,5067,AR
5,69,5069,AR
5,71,5071,AR
5,73,5073,AR
5,75,5075,AR
5,77,5077,AR
5,79,5079,AR
5,81,5081,AR
5,83,5083,AR
5,85,5085,AR
5,87,5087,AR
5,89,5089,AR
5,91,5091,AR
5,93,5093,AR
5,95,5095,AR
5,97,5097,AR
5,99,5099,AR
5,101,5101,AR
5,103,5103,AR
5,105,5105,AR
5,107,5107,AR
5,109,5109,AR
5,111,5111,AR
5,113,5113,AR
5,115,5115,AR
5,117,5117,AR
5,119,5119,AR
5,121,5121,AR
5,123,5123,AR
5,125,5125,AR
5,127,5127,AR
5,129,5129,AR
5,131,5131,AR
5,133,5133,AR
5,135,5135,AR
5,137,5137,AR
5,139,5139,AR
5,141,5141,AR
5,143,5143,AR
5,145,5145,AR
5,147,5147,AR
5,149,5149,AR
6,1,6001,CA
6,3,6003,CA
6,5,6005,CA
6,7,6007,CA
6,9,6009,CA
6,11,6011,CA
6,13,6013,CA
6,15,6015,CA
6,17,6017,CA
6,19,6019,CA
6,21,6021,CA
6,23,6023,CA
6,25,6025,CA
6,27,6027,CA
6,29,6029,CA
6,31,6031,CA
6,33,6033,CA
6,35,6035,CA
6,37,6037,CA
6,39,6039,CA
6,41,6041,CA
6,43,6043,CA
6,45,6045,CA
6,47,6047,CA
6,49,6049,CA
6,51,6051,CA
6,53,6053,CA
6,55,6055,CA
6,57,6057,CA
6,59,6059,CA
6,61,6061,CA
6,63,6063,CA
6,65,6065,CA
6,67,6067,CA
6,69,6069,CA
6,71,6071,CA
6,73,6073,CA
6,75,6075,CA
6,77,6077,CA
6,79,6079,CA
6,81,6081,CA
6,83,6083,CA
6,85,6085,CA
6,87,6087,CA
6,89,6089,CA
6,91,6091,CA
6,93,6093,CA
6,95,6095,CA
6,97,6097,CA
6,99,6099,CA
6,101,6101,CA
6,103,6103,CA
6,105,6105,CA
6,107,6107,CA
6,109,6109,CA
6,111,6111,CA
6,113,6113,CA
6,115,6115,CA
8,1,8001,CO
8,3,8003,CO
8,5,8005,CO
8,7,8007,CO
8,9,8009,CO
8,11,8011,CO
8,13,8013,CO
8,15,8015,CO
8,17,8017,CO
8,19,8019,CO
8,21,8021,CO
8,23,8023,CO
8,25,8025,CO
8,27,8027,CO
8,29,8029,CO
8,31,8031,CO
8,33,8033,CO
8,35,8035,CO
8,37,8037,CO
8,39,8039,CO
8,41,8041,CO
8,43,8043,CO
8,45,8045,CO
8,47,8047,CO
8,49,8049,CO
8,51,8051,CO
8,53,8053,CO
8,55,8055,CO
8,57,8057,CO
8,59,8059,CO
8,61,8061,CO
8,63,8063,CO
8,65,8065,CO
8,67,8067,CO
8,69,8069,CO
8,71,8071,CO
8,73,8073,CO
8,75,8075,CO
8,77,8077,CO
8,79,8079,CO
8,81,8081,CO
8,83,8083,CO
8,85,8085,CO
8,87,8087,CO
8,89,8089,CO
8,91,8091,CO
8,93,8093,CO
8,95,8095,CO
8,97,8097,CO
8,99,8099,CO
8,101,8101,CO
8,103,8103,CO
8,105,8105,CO
8,107,8107,CO
8,109,8109,CO
8,111,8111,CO
8,113,8113,CO
8,115,8115,CO
8,117,8117,CO
8,119,8119,CO
8,121,8121,CO
8,123,8123,CO
8,125,8125,CO
9,1,9001,CT
9,3,9003,CT
9,5,9005,CT
9,7,9007,CT
9,9,9009,CT
9,11,9011,CT
9,13,9013,CT
9,15,9015,CT
10,1,10001,DE
10,3,10003,DE
10,5,10005,DE
11,1,11001,DC
12,1,12001,FL
12,3,12003,FL
12,5,12005,FL
12,7,12007,FL
12,9,12009,FL
12,11,12011,FL
12,13,12013,FL
12,15,12015,FL
12,17,12017,FL
12,19,12019,FL
12,21,12021,FL
12,23,12023,FL
12,27,12027,FL
12,29,12029,FL
12,31,12031,FL
12,33,12033,FL
12,35,12035,FL
12,37,12037,FL
12,39,12039,FL
12,41,12041,FL
12,43,12043,FL
12,45,12045,FL
12,47,12047,FL
12,49,12049,FL
12,51,12051,FL
12,53,12053,FL
12,55,12055,FL
12,57,12057,FL
12,59,12059,FL
12,61,12061,FL
12,63,12063,FL
12,65,12065,FL
12,67,12067,FL
12,69,12069,FL
12,71,12071,FL
12,73,12073,FL
12,75,12075,FL
12,77,12077,FL
12,79,12079,FL
12,81,12081,FL
12,83,12083,FL
12,85,12085,FL
12,86,12086,FL
12,87,12087,FL
12,89,12089,FL
12,91,12091,FL
12,93,12093,FL
12,95,12095,FL
12,97,12097,FL
12,99,12099,FL
12,101,12101,FL
12,103,12103,FL
12,105,12105,FL
12,107,12107,FL
12,109,12109,FL
12,111,12111,FL
12,113,12113,FL
12,115,12115,FL
12,117,12117,FL
12,119,12119,FL
12,121,12121,FL
12,123,12123,FL
12,125,12125,FL
12,127,12127,FL
12,129,12129,FL
12,131,12131,FL
12,133,12133,FL
13,1,13001,GA
13,3,13003,GA
13,5,13005,GA
13,7,13007,GA
13,9,13009,GA
13,11,13011,GA
13,13,13013,GA
13,15,13015,GA
13,17,13017,GA
13,19,13019,GA
13,21,13021,GA
13,23,13023,GA
